"序號","分類","字母","級數","級數代碼","單字或片語","詞性","中文釋義","註解","學術字彙","來源"
"1224","英檢中級 GEPT Intermediate","D","初級","E","democracy","noun","民主","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1225","英檢中級 GEPT Intermediate","D","中級","I","democrat","noun","民主主義者","大寫為民主黨黨員","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1226","英檢中級 GEPT Intermediate","D","初級","E","democratic","adj.","民主的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1227","英檢中級 GEPT Intermediate","D","中級","I","demonstrate","verb","證明、示範；遊行示威","","L3","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1228","英檢中級 GEPT Intermediate","D","中級","I","demonstration","noun","證明、示範；遊行示威","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1229","英檢中級 GEPT Intermediate","D","中級","I","dense","adj.","稠密的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1230","英檢中級 GEPT Intermediate","D","初級","E","dentist","noun","牙醫","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1231","英檢中級 GEPT Intermediate","D","初級","E","deny","verb","否認","","L7","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1232","英檢中級 GEPT Intermediate","D","中級","I","depart","verb","啟程、離開","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1233","英檢中級 GEPT Intermediate","D","初級","E","department","noun","部門","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1234","英檢中級 GEPT Intermediate","D","初級","E","department store","noun","百貨公司","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1235","英檢中級 GEPT Intermediate","D","中級","I","departure","noun","啟程、離開","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1236","英檢中級 GEPT Intermediate","D","初級","E","depend","verb","取決於、依靠","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1237","英檢中級 GEPT Intermediate","D","中級","I","dependable","adj.","可信賴的、可靠的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1238","英檢中級 GEPT Intermediate","D","中級","I","dependent","adj.","依賴的、取決於","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1239","英檢中級 GEPT Intermediate","D","中級","I","dependent","noun","受扶養者","= dependant","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1240","英檢中級 GEPT Intermediate","D","中級","I","deposit","noun","訂金、存款","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1241","英檢中級 GEPT Intermediate","D","中級","I","deposit","verb","放置、付訂金、存錢","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1242","英檢中級 GEPT Intermediate","D","中級","I","depress","verb","使沮喪","","L10","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1243","英檢中級 GEPT Intermediate","D","中級","I","depression","noun","沮喪、憂鬱症；蕭條、不景氣","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1244","英檢中級 GEPT Intermediate","D","中級","I","depth","noun","深度","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1245","英檢中級 GEPT Intermediate","D","中級","I","deputy","noun","副手、代理人","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1246","英檢中級 GEPT Intermediate","D","初級","E","describe","verb","描述","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1247","英檢中級 GEPT Intermediate","D","中級","I","description","noun","描述","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1248","英檢中級 GEPT Intermediate","D","初級","E","desert","verb","遺棄","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1249","英檢中級 GEPT Intermediate","D","初級","E","desert","noun","沙漠","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1250","英檢中級 GEPT Intermediate","D","中級","I","deserve","verb","值得、應得","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1251","英檢中級 GEPT Intermediate","D","初級","E","design","noun/verb","設計","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1252","英檢中級 GEPT Intermediate","D","中級","I","designer","noun","設計師","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1253","英檢中級 GEPT Intermediate","D","中級","I","desirable","adj.","令人嚮往的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1254","英檢中級 GEPT Intermediate","D","初級","E","desire","noun/verb","渴望","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1255","英檢中級 GEPT Intermediate","D","初級","E","desk","noun","書桌","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1256","英檢中級 GEPT Intermediate","D","中級","I","despair","noun/verb","絕望","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1257","英檢中級 GEPT Intermediate","D","中級","I","desperate","adj.","絕望的、極渴望的、不顧一切的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1258","英檢中級 GEPT Intermediate","D","中級","I","despite","prep.","儘管","","L4","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1259","英檢中級 GEPT Intermediate","D","初級","E","dessert","noun","甜點","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1260","英檢中級 GEPT Intermediate","D","中級","I","destination","noun","目的地","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1261","英檢中級 GEPT Intermediate","D","中級","I","destroy","verb","摧毀、破壞","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1262","英檢中級 GEPT Intermediate","D","中級","I","destruction","noun","摧毀、破壞","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1263","英檢中級 GEPT Intermediate","D","中級","I","destructive","adj.","破壞性的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1264","英檢中級 GEPT Intermediate","D","中級","I","detail","noun/verb","細節；詳述","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1265","英檢中級 GEPT Intermediate","D","中級","I","detailed","adj.","詳細的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1266","英檢中級 GEPT Intermediate","D","中級","I","detect","verb","發現、查出","","L8","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1267","英檢中級 GEPT Intermediate","D","中級","I","detective","noun/adj.","偵探、警探；偵探的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1268","英檢中級 GEPT Intermediate","D","中級","I","detergent","noun","洗衣粉、清潔劑","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1269","英檢中級 GEPT Intermediate","D","中級","I","determination","noun","決心","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1270","英檢中級 GEPT Intermediate","D","初級","E","determine","verb","決定、下決心","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1271","英檢中級 GEPT Intermediate","D","初級","E","develop","verb","發展","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1272","英檢中級 GEPT Intermediate","D","中級","I","development","noun","發展、開發","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1273","英檢中級 GEPT Intermediate","D","中級","I","device","noun","裝置、設備","","L9","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1274","英檢中級 GEPT Intermediate","D","中級","I","devil","noun","惡魔","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1275","英檢中級 GEPT Intermediate","D","中級","I","devise","verb","發明、想出","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1276","英檢中級 GEPT Intermediate","D","中級","I","devote","verb","致力、用於","","L9","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1277","英檢中級 GEPT Intermediate","D","中級","I","devoted","adj.","摯愛的、忠誠的、專心致志的","","L9","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1278","英檢中級 GEPT Intermediate","D","中級","I","devotion","noun","摯愛、忠誠、奉獻","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1279","英檢中級 GEPT Intermediate","D","初級","E","dial","verb/noun","撥號；撥號盤、錶面","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1280","英檢中級 GEPT Intermediate","D","中級","I","dialect","noun","方言","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1281","英檢中級 GEPT Intermediate","D","中級","I","dialog","noun","對話","= dialogue (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1282","英檢中級 GEPT Intermediate","D","初級","E","diamond","noun","鑽石；菱形","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1283","英檢中級 GEPT Intermediate","D","初級","E","diary","noun","日記","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1284","英檢中級 GEPT Intermediate","D","中級","I","dictate","verb","口述、命令、支配","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1285","英檢中級 GEPT Intermediate","D","中級","I","dictation","noun","口述、聽寫","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1286","英檢中級 GEPT Intermediate","D","初級","E","dictionary","noun","字典","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1287","英檢中級 GEPT Intermediate","D","初級","E","die","verb","死","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1288","英檢中級 GEPT Intermediate","D","初級","E","diet","noun/verb/adj.","飲食、節食；節食；飲食的、節食的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1289","英檢中級 GEPT Intermediate","D","中級","I","differ","verb","不同","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1290","英檢中級 GEPT Intermediate","D","初級","E","difference","noun","差別","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1291","英檢中級 GEPT Intermediate","D","初級","E","different","adj.","不同的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1292","英檢中級 GEPT Intermediate","D","初級","E","difficult","adj.","困難的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1293","英檢中級 GEPT Intermediate","D","初級","E","difficulty","noun","困難","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1294","英檢中級 GEPT Intermediate","D","初級","E","dig","verb","挖","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1295","英檢中級 GEPT Intermediate","D","中級","I","digest","verb","消化、領悟","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1296","英檢中級 GEPT Intermediate","D","中級","I","digest","noun","文摘、摘要","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1297","英檢中級 GEPT Intermediate","D","中級","I","digestion","noun","消化","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1298","英檢中級 GEPT Intermediate","D","中級","I","digit","noun","數字、位數","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1299","英檢中級 GEPT Intermediate","D","中級","I","digital","adj.","數位的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1300","英檢中級 GEPT Intermediate","D","中級","I","dignity","noun","尊嚴、莊重","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1301","英檢中級 GEPT Intermediate","D","中級","I","diligence","noun","勤奮、用功","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1302","英檢中級 GEPT Intermediate","D","初級","E","diligent","adj.","勤奮的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1303","英檢中級 GEPT Intermediate","D","中級","I","dim","adj./verb","暗淡的、模糊的；使變暗","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1304","英檢中級 GEPT Intermediate","D","中級","I","dime","noun","十分錢","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1305","英檢中級 GEPT Intermediate","D","中級","I","dine","verb","用餐","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1306","英檢中級 GEPT Intermediate","D","初級","E","dining room","noun","餐廳、飯廳","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1307","英檢中級 GEPT Intermediate","D","初級","E","dinner","noun","晚餐","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1308","英檢中級 GEPT Intermediate","D","初級","E","dinosaur","noun","恐龍","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1309","英檢中級 GEPT Intermediate","D","中級","I","dip","verb/noun","浸泡、蘸","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1310","英檢中級 GEPT Intermediate","D","中級","I","diploma","noun","學位證書、文憑","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1311","英檢中級 GEPT Intermediate","D","初級","E","diplomat","noun","外交官","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1312","英檢中級 GEPT Intermediate","D","初級","E","direct","adj.","直接的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1313","英檢中級 GEPT Intermediate","D","初級","E","direct","verb","針對、指揮","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1314","英檢中級 GEPT Intermediate","D","初級","E","direction","noun","方向","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1315","英檢中級 GEPT Intermediate","D","初級","E","director","noun","導演、主管","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1316","英檢中級 GEPT Intermediate","D","中級","I","dirt","noun","塵土","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1317","英檢中級 GEPT Intermediate","D","初級","E","dirty","adj./verb","髒的；弄髒","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1318","英檢中級 GEPT Intermediate","D","中級","I","disabled","adj.","有殘疾的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1319","英檢中級 GEPT Intermediate","D","中級","I","disadvantage","noun/verb","缺點、不利；使處於不利地位","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1320","英檢中級 GEPT Intermediate","D","中級","I","disadvantaged","adj.","弱勢的、貧困的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1321","英檢中級 GEPT Intermediate","D","中級","I","disagree","verb","不同意","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1322","英檢中級 GEPT Intermediate","D","初級","E","disappear","verb","消失","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1323","英檢中級 GEPT Intermediate","D","中級","I","disappoint","verb","使失望","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1324","英檢中級 GEPT Intermediate","D","中級","I","disappointment","noun","失望、沮喪","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1325","英檢中級 GEPT Intermediate","D","中級","I","disapproval","noun","不贊成、反對","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1326","英檢中級 GEPT Intermediate","D","中級","I","disapprove","verb","不贊成、反對","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1327","英檢中級 GEPT Intermediate","D","中級","I","disaster","noun","災難","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1328","英檢中級 GEPT Intermediate","D","中級","I","discard","verb/noun","丟棄；被拋棄的人或物","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1329","英檢中級 GEPT Intermediate","D","中級","I","discipline","noun","紀律、訓練","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1330","英檢中級 GEPT Intermediate","D","中級","I","discipline","verb","（使有）紀律、訓練、懲戒","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1331","英檢中級 GEPT Intermediate","D","中級","I","disconnect","verb","切斷、使分離","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1332","英檢中級 GEPT Intermediate","D","中級","I","discount","noun/verb","折扣；打折、排除","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1333","英檢中級 GEPT Intermediate","D","中級","I","discourage","verb","使灰心、阻止","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1334","英檢中級 GEPT Intermediate","D","初級","E","discover","verb","發現","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1335","英檢中級 GEPT Intermediate","D","中級","I","discovery","noun","發現","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1336","英檢中級 GEPT Intermediate","D","初級","E","discuss","verb","討論","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1337","英檢中級 GEPT Intermediate","D","初級","E","discussion","noun","討論","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1338","英檢中級 GEPT Intermediate","D","中級","I","disease","noun","疾病","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1339","英檢中級 GEPT Intermediate","D","中級","I","disguise","noun/verb","偽裝、掩飾","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1340","英檢中級 GEPT Intermediate","D","中級","I","disgust","verb/noun","厭惡、反感","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1341","英檢中級 GEPT Intermediate","D","初級","E","dish","noun","盤、菜餚","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1342","英檢中級 GEPT Intermediate","D","初級","E","dishonest","adj.","不誠實的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1343","英檢中級 GEPT Intermediate","D","中級","I","disk","noun","磁碟、光碟、圓盤","= disc (British English)","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1344","英檢中級 GEPT Intermediate","D","中級","I","dislike","verb/noun","不喜歡","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1345","英檢中級 GEPT Intermediate","D","中級","I","dismiss","verb","解散、解雇、不考慮","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1346","英檢中級 GEPT Intermediate","D","中級","I","disorder","noun","障礙、失調；騷動","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1347","英檢中級 GEPT Intermediate","D","中級","I","display","verb/noun","陳列、展示","","L6","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1348","英檢中級 GEPT Intermediate","D","中級","I","dispute","verb/noun","爭論、爭執","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1349","英檢中級 GEPT Intermediate","D","中級","I","dissatisfaction","noun","不滿","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1350","英檢中級 GEPT Intermediate","D","中級","I","dissolve","verb","溶解；解散、解除","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1351","英檢中級 GEPT Intermediate","D","初級","E","distance","noun","距離","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1352","英檢中級 GEPT Intermediate","D","中級","I","distant","adj.","遙遠的、冷漠的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1353","英檢中級 GEPT Intermediate","D","中級","I","distinct","adj.","不同的、明顯的","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1354","英檢中級 GEPT Intermediate","D","中級","I","distinction","noun","差別；優秀","","L2","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1355","英檢中級 GEPT Intermediate","D","中級","I","distinguish","verb","區分、顯出特色","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1356","英檢中級 GEPT Intermediate","D","中級","I","distinguished","adj.","卓越的、著名的","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1357","英檢中級 GEPT Intermediate","D","中級","I","distribute","verb","分配、發送","","L1","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1358","英檢中級 GEPT Intermediate","D","中級","I","distribution","noun","分配、發送","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1359","英檢中級 GEPT Intermediate","D","中級","I","district","noun","地區、行政區","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1360","英檢中級 GEPT Intermediate","D","中級","I","distrust","verb/noun","不信任","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1361","英檢中級 GEPT Intermediate","D","中級","I","disturb","verb","打擾、妨礙","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1362","英檢中級 GEPT Intermediate","D","中級","I","disturbance","noun","干擾、騷動","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1363","英檢中級 GEPT Intermediate","D","中級","I","ditch","noun","水溝","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1364","英檢中級 GEPT Intermediate","D","中級","I","ditch","verb","丟棄","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
"1365","英檢中級 GEPT Intermediate","D","中級","I","dive","verb/noun","跳水、潛水","","","https://www.lttc.ntu.edu.tw/en/vocabulary_detail/f0481ac6e9b60a089dc49e56f762b3c6"
