序號,分類,字母,單字或片語,詞性縮寫,詞性,中文含義,來源
145,TOEFL 托福高頻詞彙 1-1000,A,affectionate,adj.,形容詞,"亲爱的,挚爱的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
146,TOEFL 托福高頻詞彙 1-1000,A,affiliate,vt.,及物動詞,使隶隶属;接纳为成员,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
147,TOEFL 托福高頻詞彙 1-1000,A,affinity,n.,名詞,紧密关系；吸引;喜爱,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
148,TOEFL 托福高頻詞彙 1-1000,A,affirm,vt.,及物動詞,"断言言;证实,确认",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
149,TOEFL 托福高頻詞彙 1-1000,A,afflict,vt.,及物動詞,折磨;使苦恼,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
150,TOEFL 托福高頻詞彙 1-1000,A,affliction,n.,名詞,"痛苦,苦恼",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
151,TOEFL 托福高頻詞彙 1-1000,A,affluent,adj.,形容詞,"富有的,丰富的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
152,TOEFL 托福高頻詞彙 1-1000,A,afford,vt.,及物動詞,付得起;冒险做；提供,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
153,TOEFL 托福高頻詞彙 1-1000,A,affordable,adj.,形容詞,"负担得起的,便便宜的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
154,TOEFL 托福高頻詞彙 1-1000,A,agenda,n.,名詞,"日日程,议程",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
155,TOEFL 托福高頻詞彙 1-1000,A,aggravate,vt.,及物動詞,"使恶化,使加重",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
156,TOEFL 托福高頻詞彙 1-1000,A,aggravating,adj.,形容詞,"恼人的,讨厌的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
157,TOEFL 托福高頻詞彙 1-1000,A,aggregate,n.,名詞,总数；聚集体,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
158,TOEFL 托福高頻詞彙 1-1000,A,aggregation,n.,名詞,"集合,群体",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
159,TOEFL 托福高頻詞彙 1-1000,A,aggressive,adj.,形容詞,"强有力的,坚持己己⻅见的；好斗斗的,有敌意的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
160,TOEFL 托福高頻詞彙 1-1000,A,aggressiveness,n.,名詞,侵略略;争斗斗,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
161,TOEFL 托福高頻詞彙 1-1000,A,agile,adj.,形容詞,"敏敏捷的,活泼轻快的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
162,TOEFL 托福高頻詞彙 1-1000,A,agility,n.,名詞,"敏敏捷,活泼",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
163,TOEFL 托福高頻詞彙 1-1000,F,fragile,adj.,形容詞,"易易碎的,脆的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
164,TOEFL 托福高頻詞彙 1-1000,F,fragility,n.,名詞,脆弱,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
165,TOEFL 托福高頻詞彙 1-1000,A,agitation,n.,名詞,"焦虑,不不安;煽动",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
166,TOEFL 托福高頻詞彙 1-1000,A,agreeable,adj.,形容詞,"使人愉快的,合意的；容易易相处的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
167,TOEFL 托福高頻詞彙 1-1000,D,disagreeable,adj.,形容詞,"不不令人喜欢的,令人厌恶的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
168,TOEFL 托福高頻詞彙 1-1000,A,ailment,n.,名詞,疾病(尤指轻病、小病),https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
169,TOEFL 托福高頻詞彙 1-1000,A,aim,n. / vi.,名詞 / 不及物動詞,"目标,计划；针对;打算,意欲",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
170,TOEFL 托福高頻詞彙 1-1000,A,air,n. / vt.,名詞 / 及物動詞,"空气气,空中；晾干,使通⻛风",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
171,TOEFL 托福高頻詞彙 1-1000,A,airborne,adj.,形容詞,"空气气传播的;空运的,空降的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
172,TOEFL 托福高頻詞彙 1-1000,A,ajar,adj.,形容詞,(⻔门窗等)微开的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
173,TOEFL 托福高頻詞彙 1-1000,A,akin,adj.,形容詞,同族的;类似的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
174,TOEFL 托福高頻詞彙 1-1000,A,alchemy,n.,名詞,炼金金金术,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
175,TOEFL 托福高頻詞彙 1-1000,A,alder,n.,名詞,赤赤杨树,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
176,TOEFL 托福高頻詞彙 1-1000,A,alert,adj. / vt. / n.,形容詞 / 及物動詞 / 名詞,"机敏敏的；警报;使随时掌握、了了解；警戒,警报",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
177,TOEFL 托福高頻詞彙 1-1000,A,algae,n.,名詞,海海藻,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
178,TOEFL 托福高頻詞彙 1-1000,A,alien,adj.,形容詞,相异的;陌生的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
179,TOEFL 托福高頻詞彙 1-1000,S,salient,adj.,形容詞,"显著的,突出的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
180,TOEFL 托福高頻詞彙 1-1000,A,alignment,n.,名詞,"排列列;联合,联盟",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
181,TOEFL 托福高頻詞彙 1-1000,A,alike,adj.,形容詞,"相同的,相似的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
182,TOEFL 托福高頻詞彙 1-1000,A,all but,词组,片語,+ adj. 几几乎...；+ n. 除...以外所有的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
183,TOEFL 托福高頻詞彙 1-1000,A,all inclusive,词组,片語,无所不不包的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
184,TOEFL 托福高頻詞彙 1-1000,A,allegation,n.,名詞,"宣称,主张,断言言",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
185,TOEFL 托福高頻詞彙 1-1000,A,allegory,n.,名詞,寓言言,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
186,TOEFL 托福高頻詞彙 1-1000,A,alliteration,n.,名詞,(诗歌的)头韵,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
187,TOEFL 托福高頻詞彙 1-1000,A,allocate,vt.,及物動詞,分配,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
188,TOEFL 托福高頻詞彙 1-1000,A,alloy,n. / vt.,名詞 / 及物動詞,合金金金；使成合金金金,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
189,TOEFL 托福高頻詞彙 1-1000,A,allude,vi.,不及物動詞,"暗指,影射,间接提到",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
190,TOEFL 托福高頻詞彙 1-1000,A,ally,n. / v.,名詞 / 動詞,联盟;同盟者；结盟,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
191,TOEFL 托福高頻詞彙 1-1000,R,rally,n.,名詞,集会,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
192,TOEFL 托福高頻詞彙 1-1000,A,aloft,adv.,副詞,在高高处;在空中,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
193,TOEFL 托福高頻詞彙 1-1000,A,alone,adj./v.,形容詞 / 動詞,单独的(地),https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
194,TOEFL 托福高頻詞彙 1-1000,A,aloof,adj.,形容詞,"远离的;冷淡的,漠不不关心的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
195,TOEFL 托福高頻詞彙 1-1000,A,alter,vt.,及物動詞,"改变,修改",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
196,TOEFL 托福高頻詞彙 1-1000,A,alteration,n.,名詞,"变更更,改造",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
197,TOEFL 托福高頻詞彙 1-1000,A,alternate,adj. / vi.,形容詞 / 不及物動詞,"交替的,轮流的；替代的；交替,轮流",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
198,TOEFL 托福高頻詞彙 1-1000,A,alternately,adv.,副詞,"交替地,隔一一个地",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
199,TOEFL 托福高頻詞彙 1-1000,A,alternation,n.,名詞,"交替,轮流",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
200,TOEFL 托福高頻詞彙 1-1000,A,alternative,adj. / n.,形容詞 / 名詞,"另一一可选的,另外的；可选事物,另一一种选择",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
201,TOEFL 托福高頻詞彙 1-1000,A,altitude,n.,名詞,高高度,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
202,TOEFL 托福高頻詞彙 1-1000,L,latitude,n.,名詞,纬度,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
203,TOEFL 托福高頻詞彙 1-1000,P,platitude,adj.,形容詞,陈词滥调,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
204,TOEFL 托福高頻詞彙 1-1000,A,aluminum,n.,名詞,铝,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
205,TOEFL 托福高頻詞彙 1-1000,A,amateur,adj. / n.,形容詞 / 名詞,业余的；业余爱好者,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
206,TOEFL 托福高頻詞彙 1-1000,A,amaze,vt.,及物動詞,"使吃惊,使惊叹",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
207,TOEFL 托福高頻詞彙 1-1000,A,amazement,n.,名詞,"惊愕,惊异",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
208,TOEFL 托福高頻詞彙 1-1000,A,amazing,adj.,形容詞,令人惊异的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
209,TOEFL 托福高頻詞彙 1-1000,A,ambience,n.,名詞,"周围环境,气气氛",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
210,TOEFL 托福高頻詞彙 1-1000,A,ambition,n.,名詞,"雄心,抱负",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
211,TOEFL 托福高頻詞彙 1-1000,A,ambitious,adj.,形容詞,"有雄心的,渴望成功的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
212,TOEFL 托福高頻詞彙 1-1000,A,ambivalent,adj.,形容詞,"有矛矛盾情绪的,举棋不不定的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
213,TOEFL 托福高頻詞彙 1-1000,A,ambivalence,n.,名詞,矛矛盾心理理,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
214,TOEFL 托福高頻詞彙 1-1000,A,amble,vi.,不及物動詞,"漫步,缓行行",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
215,TOEFL 托福高頻詞彙 1-1000,S,scramble,vt.,及物動詞,"攀爬;搅乱,使混杂",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
216,TOEFL 托福高頻詞彙 1-1000,A,amenable,adj.,形容詞,顺从的;应服从的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
217,TOEFL 托福高頻詞彙 1-1000,A,amendment,n.,名詞,"改正,修正",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
218,TOEFL 托福高頻詞彙 1-1000,A,Amendment,n.,名詞,宪法修正案,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
219,TOEFL 托福高頻詞彙 1-1000,A,amend,vt.,及物動詞,"改正,修正",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
220,TOEFL 托福高頻詞彙 1-1000,A,amenity,n.,名詞,"pl.生活福利利设施,文文娱康乐场所；(不不可数)愉快,适意",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
221,TOEFL 托福高頻詞彙 1-1000,A,amid,prep.,介系詞,在...中,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
222,TOEFL 托福高頻詞彙 1-1000,P,pyramid,n.,名詞,金金金字塔;金金金字塔现象/形状,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
223,TOEFL 托福高頻詞彙 1-1000,A,amnesia,n.,名詞,健忘症,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
224,TOEFL 托福高頻詞彙 1-1000,A,amount,n. / vi.,名詞 / 不及物動詞,"量量,总合；总计;等于",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
225,TOEFL 托福高頻詞彙 1-1000,A,ample,adj.,形容詞,"富足足的,充足足的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
226,TOEFL 托福高頻詞彙 1-1000,T,trample,vt.,及物動詞,"践踏,踩坏",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
227,TOEFL 托福高頻詞彙 1-1000,A,amplify,vt.,及物動詞,放大大;扩大大;增强,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
228,TOEFL 托福高頻詞彙 1-1000,A,amplification,n.,名詞,扩大大,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
229,TOEFL 托福高頻詞彙 1-1000,A,an army of,词组,片語,"大大群的,大大量的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
230,TOEFL 托福高頻詞彙 1-1000,A,analogy,n.,名詞,"类比比,类推；类此物",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
231,TOEFL 托福高頻詞彙 1-1000,A,analogous,adj.,形容詞,类似的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
232,TOEFL 托福高頻詞彙 1-1000,A,analyze,vt.,及物動詞,"分析,分解",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
233,TOEFL 托福高頻詞彙 1-1000,A,analysis,n.,名詞,分析;分析报告,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
234,TOEFL 托福高頻詞彙 1-1000,P,psychoanalysis,n.,名詞,心理理分析,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
235,TOEFL 托福高頻詞彙 1-1000,A,anarchist,n.,名詞,无政府主义者,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
236,TOEFL 托福高頻詞彙 1-1000,A,anatomy,n.,名詞,解剖;解剖学,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
237,TOEFL 托福高頻詞彙 1-1000,A,ancestor,n.,名詞,"祖先,祖宗",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
238,TOEFL 托福高頻詞彙 1-1000,A,ancestry,n.,名詞,"家系,血血统",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
239,TOEFL 托福高頻詞彙 1-1000,A,ancestral,adj.,形容詞,"祖先的,祖传的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
240,TOEFL 托福高頻詞彙 1-1000,A,anecdotal,adj.,形容詞,"轶闻的,多轶闻趣闻的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
241,TOEFL 托福高頻詞彙 1-1000,A,anecdote,n.,名詞,"短故事,轶事",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
242,TOEFL 托福高頻詞彙 1-1000,A,anesthesia,n.,名詞,麻醉,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
243,TOEFL 托福高頻詞彙 1-1000,A,anesthetic,n.,名詞,"麻醉剂,麻药",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
244,TOEFL 托福高頻詞彙 1-1000,A,angular,adj.,形容詞,"有⻆角的,尖⻆角的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
245,TOEFL 托福高頻詞彙 1-1000,R,rectangular,n.,名詞,"矩形的,成直⻆角的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
246,TOEFL 托福高頻詞彙 1-1000,A,animated,adj.,形容詞,"活生生的;活泼的,生动的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
247,TOEFL 托福高頻詞彙 1-1000,A,annex,vt.,及物動詞,"兼并,附加",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
248,TOEFL 托福高頻詞彙 1-1000,A,annihilate,vt.,及物動詞,消灭;消减,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
249,TOEFL 托福高頻詞彙 1-1000,A,announce,vt.,及物動詞,"宣布,发表,通告",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
250,TOEFL 托福高頻詞彙 1-1000,A,announcement,n.,名詞,"宣告,发表",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
251,TOEFL 托福高頻詞彙 1-1000,A,announcer,n.,名詞,广广播员;报幕员,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
252,TOEFL 托福高頻詞彙 1-1000,A,annoy,vt.,及物動詞,使恼怒怒;打扰,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
253,TOEFL 托福高頻詞彙 1-1000,A,annoying,adj.,形容詞,"恼人的,讨厌的;使人愤怒怒的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
254,TOEFL 托福高頻詞彙 1-1000,A,annual,adj.,形容詞,每年年的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
255,TOEFL 托福高頻詞彙 1-1000,A,annually,adv.,副詞,"一一年年一一次,每年年",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
256,TOEFL 托福高頻詞彙 1-1000,A,anomaly,n.,名詞,"异常,不不规则;异常的人或物",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
257,TOEFL 托福高頻詞彙 1-1000,A,anonymous,adj.,形容詞,匿匿名的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
258,TOEFL 托福高頻詞彙 1-1000,A,anthem,n.,名詞,"圣歌,赞美诗",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
259,TOEFL 托福高頻詞彙 1-1000,A,anthology,n.,名詞,"诗集,文文选",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
260,TOEFL 托福高頻詞彙 1-1000,A,anthropology,n.,名詞,人类学,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
261,TOEFL 托福高頻詞彙 1-1000,A,antibiotic,adj. / n.,形容詞 / 名詞,"抗菌的,抗生的；antibiotics 抗生素",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
262,TOEFL 托福高頻詞彙 1-1000,A,anticipate,vt.,及物動詞,"预期,预料料",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
263,TOEFL 托福高頻詞彙 1-1000,A,anticipation,n.,名詞,"期望,预料料",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
264,TOEFL 托福高頻詞彙 1-1000,A,antiquate,vt.,及物動詞,"使古旧,废弃",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
265,TOEFL 托福高頻詞彙 1-1000,A,antiquated,adj.,形容詞,"陈旧的,过时的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
266,TOEFL 托福高頻詞彙 1-1000,A,antique,n. / adj.,名詞 / 形容詞,"古董；古时的,过时的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
267,TOEFL 托福高頻詞彙 1-1000,A,antiquity,n.,名詞,古迹;古物；古代；古老老老,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
268,TOEFL 托福高頻詞彙 1-1000,A,antiseptic,n.,名詞,"防腐剂,杀菌剂",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
269,TOEFL 托福高頻詞彙 1-1000,A,anxious,adj.,形容詞,渴望的;担忧的,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
270,TOEFL 托福高頻詞彙 1-1000,A,apart from,词组,片語,除...之外,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
271,TOEFL 托福高頻詞彙 1-1000,A,apologize,vi.,不及物動詞,道歉,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
272,TOEFL 托福高頻詞彙 1-1000,A,apology,n.,名詞,"道歉,歉意",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
273,TOEFL 托福高頻詞彙 1-1000,A,appeal,n. / vi.,名詞 / 不及物動詞,"吸引力；吸引；上诉,申请",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
274,TOEFL 托福高頻詞彙 1-1000,A,appealing,adj.,形容詞,"动人的,媚人的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
275,TOEFL 托福高頻詞彙 1-1000,A,appetite,n.,名詞,"胃口,⻝食食欲",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
276,TOEFL 托福高頻詞彙 1-1000,A,applaud,vi.,不及物動詞,"喝喝彩,欢呼",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
277,TOEFL 托福高頻詞彙 1-1000,A,applicant,n.,名詞,申请人,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
278,TOEFL 托福高頻詞彙 1-1000,A,apply,v. / vi.,動詞 / 不及物動詞,"应用用,适用用；申请",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
279,TOEFL 托福高頻詞彙 1-1000,A,application,n.,名詞,"申请；施用用,运用用;作用用,影响",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
280,TOEFL 托福高頻詞彙 1-1000,A,appliance,n.,名詞,"用用具,器具",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
281,TOEFL 托福高頻詞彙 1-1000,A,appoint,vt.,及物動詞,"任命,选派",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
282,TOEFL 托福高頻詞彙 1-1000,A,appointment,n.,名詞,约会；指定,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
283,TOEFL 托福高頻詞彙 1-1000,D,disappointment,n.,名詞,失望,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
284,TOEFL 托福高頻詞彙 1-1000,A,apportion,vt.,及物動詞,(按比比例例或计划)分配,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
285,TOEFL 托福高頻詞彙 1-1000,A,appraisal,n.,名詞,"评价,估价",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
286,TOEFL 托福高頻詞彙 1-1000,A,appreciable,adj.,形容詞,"(数量量或变化)很大大的,值得重视的",https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
287,TOEFL 托福高頻詞彙 1-1000,A,appreciate,vt.,及物動詞,赏识;鉴赏；感激,https://meweenglish.com/wp-content/uploads/2020/10/ENG-CHN-VOCAB-TOEFL.pdf
